Statement,Link
168 spitters penalised in Surat in a week as SMC launches drive,https://indianexpress.com/article/cities/ahmedabad/168-spitters-penalised-in-surat-in-a-week-as-smc-launches-drive-9036663/
Former pro-VC of Mumbai University attacked at his residence in Kalyan,https://indianexpress.com/article/cities/mumbai/former-pro-vc-of-mumbai-university-attacked-at-his-residence-in-kalyan-9036201/
MCD to increase minimum wages of its staff^ find out proposed hike for each category,https://indianexpress.com/article/cities/delhi/mcd-increase-wages-staff-proposed-hike-9035774/
Jagadhharti Puja: A mix of heritage^ grandeur & social messages at Chandannagar puja pandals,https://indianexpress.com/article/cities/kolkata/jagadhharti-puja-a-mix-of-heritage-grandeur-social-messages-at-chandannagar-puja-pandals-9035510/
Mumbai breathes easier with improved AQI,https://indianexpress.com/article/cities/mumbai/mumbai-breathes-easier-with-improved-aqi-9035363/
BBMP to digitise all property documents in Bengaluru in bid to increase tax revenue,https://indianexpress.com/article/cities/bangalore/bbmp-digitise-property-documents-increase-tax-revenue-9034951/
Only ‘substantial changes’ made to will through ‘cuttings^ overwriting’ can lead to rejection by court: Delhi HC,https://indianexpress.com/article/cities/delhi/wills-high-court-overwriting-execution-9034300/
As the stadium bleeds blue^ heart break for Indian fans in Ahmedabad,https://indianexpress.com/article/cities/ahmedabad/stadium-bleeds-blue-heart-break-indian-fans-ahmedabad-9033994/
Breaking chains of paperwork: Soon^ medical records at govt hospitals with just a click,https://indianexpress.com/article/cities/mumbai/medical-records-at-govt-hospitals-with-just-a-click-9033716/
Delhi News Live Updates: Air quality deteriorates again as AQI touches 365 today,https://indianexpress.com/article/cities/delhi/delhi-news-live-updates-air-quality-arvind-kejriwal-aap-bjp-9032982/
Aaditya questions case; claims bridge was ready^ yet was not being opened,https://indianexpress.com/article/cities/mumbai/aaditya-questions-case-claims-bridge-was-ready-yet-was-not-being-opened-9032784/
Gujarat This Week: Film^ documentary screenings^ theatre performance; and more,https://indianexpress.com/article/cities/ahmedabad/gujarat-film-documentary-screenings-theatre-performance-more-9032582/
Sack Bhujbal for trying to spread enmity between Marathas and OBCs: Sambhajiraje,https://indianexpress.com/article/cities/pune/sack-bhujbal-for-trying-to-spread-enmity-between-maratha-obc-communities-sambhajiraje-9032169/
Day after video of PCR personnel with liquor bottle went viral^ 2 head constables shunted to Police Lines,https://indianexpress.com/article/cities/chandigarh/video-pcr-personnel-liquor-bottle-viral-head-constables-shunted-police-lines-9031717/
Pune fire brigade rescues toddler stuck in gallery grills,https://indianexpress.com/article/cities/pune/pune-fire-brigade-rescues-toddler-stuck-in-gallery-grills-9031480/
Decide within a week travel request of mother of Kerala nurse facing death sentence in Yemen: Delhi HC to Centre,https://indianexpress.com/article/cities/delhi/travel-request-mother-kerala-nurse-facing-death-sentence-yemen-delhi-hc-centre-9031186/
Karnataka revives Lokayukta SIT to probe illegal iron ore mining cases from BJP tenure,https://indianexpress.com/article/cities/bangalore/karnataka-lokayukta-sit-illegal-iron-ore-mining-cases-bjp-9030580/
HC junks FIR against Times Now cameraman: ‘No allegation^ no involvement’,https://indianexpress.com/article/cities/chandigarh/hc-junks-fir-times-now-cameraman-no-allegation-involvement-9030072/
Chatth Puja politics: UP to blame for toxic foam on Yamuna^ says Atishi; BJP hits back,https://indianexpress.com/article/cities/delhi/chatth-puja-politics-up-to-blame-for-toxic-foam-on-yamuna-says-atishi-bjp-hits-back-9029949/
6-year-old boy found dead in bed box in Faridabad^ uncle apprehended,https://indianexpress.com/article/cities/delhi/6-year-old-boy-found-dead-in-box-bed-in-faridabad-uncle-apprehended-9029706/
KEA recruitment scam key accused R D Patil handed over to CID custody,https://indianexpress.com/article/cities/bangalore/kea-recruitment-scam-key-accused-r-d-patil-handed-over-to-cid-custody-9028990/
In Chandigarh^ prevalence of diabetes is 20.4%^ national average is 11.4%: Study,https://indianexpress.com/article/cities/chandigarh/chandigarh-diabetes-lancet-study-national-average-9028541/
‘She is scared to go to the gate again’: Kin of 8-year-old hit by car in Noida on Diwali,https://indianexpress.com/article/cities/delhi/she-is-scared-to-go-to-the-gate-again-kin-of-8-year-old-hit-by-car-in-noida-on-diwali-9028403/
The Indian Courier Scam: How phone calls from ‘courier companies’ have been scamming people across country,https://indianexpress.com/article/cities/mumbai/mumbaikars-losing-money-courier-scams-vikhroli-doctor-latest-victim-9027888/
3^ including a girl^ die as speeding car of drug smuggler rams motorcycle in Ferozepur,https://indianexpress.com/article/cities/chandigarh/speeding-car-rams-motorcycle-ferozepur-9027364/
‘Unfair^ contrary to norms’: Patna HC on ambulance tender to JD(U) MP’s kin,https://indianexpress.com/article/cities/patna/unfair-contrary-to-norms-patna-hc-on-ambulance-tender-to-jdu-mps-kin-9026998/
Dwarka e-way land case: Vigilance report says remove Chief Secy Naresh Kumar from post; he claims bid by AAP govt to malign him,https://indianexpress.com/article/cities/delhi/preliminary-vigilance-report-against-delhi-chief-secretary-naresh-kumar-land-compensation-removal-9026442/
30% paddy yet to be harvested^ officials fear sharp spike in stubble fire cases in Punjab,https://indianexpress.com/article/cities/chandigarh/punjab-paddy-harvesting-stubble-fire-cases-9025743/
Govt to procure paddy^ coarse grains from farmers at MSP,https://indianexpress.com/article/cities/mumbai/govt-procure-paddy-coarse-grains-farmers-msp-9025467/
Man dies in Ghaziabad during Diwali celebrations^ accused on the run,https://indianexpress.com/article/cities/delhi/man-dies-in-ghaziabad-during-diwali-celebrations-accused-on-the-run-9025198/
Know Your City: Manek Chowk^ Ahmedabad’s ‘jewel’^ where you can shop jewellery^ dine and even exchange torn currency notes,https://indianexpress.com/article/cities/ahmedabad/know-your-city-manek-chowk-ahmedabad-jewellery-currency-9024627/
Postcards from the Past: Environmentalist Satish Khot on how Pune changed from ‘cycle city’ to ‘metro city’,https://indianexpress.com/article/cities/pune/environmentalist-satish-khot-ohow-pune-changed-from-cycle-city-to-metro-city-9023899/
Himachal Cryptocurrency scam: Fugitive kingpin formed five shell firms to launder money^ finds SIT,https://indianexpress.com/article/cities/chandigarh/himachal-cryptocurrency-scam-fugitive-kingpin-formed-five-shell-firms-money-laundering-9023409/
Soon^ an app for Mumbai residents to file complaints on air pollution^ track action,https://indianexpress.com/article/cities/mumbai/app-mumbai-residents-file-complaints-air-pollution-track-action-9023189/
4 dead after oil tanker rams into car^ van on Delhi-Jaipur highway,https://indianexpress.com/article/cities/delhi/four-die-accident-delhi-jaipur-highway-9022767/
Match over in 22 seconds: Solapur’s Sikander Sheikh becomes the new ‘Maharashtra Kesari’,https://indianexpress.com/article/cities/pune/match-solapur-sikander-sheikh-maharashtra-kesari-9022522/
$3 mn found by ragpicker fake; his employer kidnapped^ tortured,https://indianexpress.com/article/cities/bangalore/3-mn-found-by-ragpicker-fake-his-employer-kidnapped-tortured-9022325/
Man held for hurling petrol bomb inside temple in Chennai,https://indianexpress.com/article/cities/chennai/man-held-petrol-bomb-inside-temple-chennai-9022022/
Bombay High Court quashes 2010 FIR against Raj Thackeray for violating election code of conduct,https://indianexpress.com/article/cities/mumbai/bombay-high-court-2010-fir-raj-thackeray-9021343/
SPPU protest: The accidental rise of New Socialist Alternative outfit,https://indianexpress.com/article/cities/pune/sppu-protest-the-accidental-rise-of-new-socialist-alternative-outfit-9021019/
50% of Maharashtra drought-hit^ fodder to be supplied at doorstep,https://indianexpress.com/article/cities/mumbai/50-of-maharashtra-drought-hit-fodder-to-be-supplied-at-doorstep-9020927/
After Hyderabad^ aggregator app Rapido launches cab services in Bengaluru,https://indianexpress.com/article/cities/bangalore/after-hyderabad-aggregator-app-rapido-launches-cab-services-in-bengaluru-9020691/
Gold trader shot multiple times^ robbed by 3 bike-borne assailants in Pune’s B T Kawade Road,https://indianexpress.com/article/cities/pune/gold-trader-shot-multiple-times-robbed-bike-borne-assailants-b-t-kawade-road-9020085/
Chhatrapati Sambhajiraje^ minister Sawant appeal: ‘Refrain from ending lives over Maratha quota’,https://indianexpress.com/article/cities/pune/health-minister-former-mp-appeal-refrain-from-ending-lives-over-maratha-quota-9019601/
Navy will become aatmanirbhar by 2047^ says Chief of Naval Staff,https://indianexpress.com/article/cities/ahmedabad/navy-will-become-aatmanirbhar-by-2047-says-chief-of-naval-staff-9019519/
Karnataka govt and C-CAMP host roundtable on strengthening public health systems,https://indianexpress.com/article/cities/bangalore/karnataka-govt-roundtable-public-health-systems-9019234/
SGPC House elects Dhami as president again^ calls for release of Sikh prisoners,https://indianexpress.com/article/cities/chandigarh/harjinder-singh-dhami-elected-sgpc-president-third-time-9018840/
ED summons Abhishek Banerjee to appear before it on Nov 9,https://indianexpress.com/article/cities/kolkata/ed-abhishek-banerjee-nov-9-9018587/
Chandigarh consumer commission asks airline to pay `20^000 to senior citizen for ‘inconvenience caused’,https://indianexpress.com/article/cities/chandigarh/chandigarh-consumer-commission-airline-pay-20000-senior-citizen-inconvenience-caused-9018276/
Angry over inter-faith relationship^ Kerala engineer forces teen daughter to drink herbicide,https://indianexpress.com/article/cities/thiruvananthapuram/kerala-engineer-forces-teen-daughter-to-drink-herbicide-she-dies-a-week-later-9018108/
Tanzanian national caught at airport with foreign currency worth Rs 2 crore,https://indianexpress.com/article/cities/mumbai/tanzanian-national-caught-airport-foreign-currency-crore-9017791/
Shambhuraj Desai criticises cabinet colleague Chhagan Bhujbal’s ‘mollycoddling Marathas’ statement,https://indianexpress.com/article/cities/mumbai/shambhuraj-desai-chhagan-bhujbal-mollycoddling-marathas-statement-9017272/
Round-the-clock security for lawyer representing family members of Morbi bridge collapse victims,https://indianexpress.com/article/cities/ahmedabad/round-clock-security-lawyer-family-members-morbi-bridge-collapse-victims-9016741/
Four days after FIR^ AAP MLA Chaitar Vasava continues to elude police,https://indianexpress.com/article/cities/ahmedabad/gujarat-aap-mla-chaitar-vasava-eludes-police-9016576/
Delhi’s AQI ‘severe’ for 5th day on trot; city schools move classes online,https://indianexpress.com/article/cities/delhi/delhi-ncr-air-quality-likely-to-remain-severe-through-next-week-9016386/
‘Case against AAP MLA Chaitar Vasava false’: Congress MLA Anant Patel writes to Gujarat CM^ asks him to intervene,https://indianexpress.com/article/cities/ahmedabad/congress-mla-anant-patel-writes-to-gujarat-cm-in-case-against-aap-mla-9016026/
BMC to develop parking spots for 22^000 vehicles in Mumbai,https://indianexpress.com/article/cities/mumbai/mumbai-bmc-parking-spots-9015554/
AQI still in the severe zone^ share of farm fires in pollution spike increases,https://indianexpress.com/article/cities/delhi/aqi-still-in-the-severe-zone-share-of-farm-fires-in-pollution-spike-increases-9015059/
35-yr-old woman^ mother-in-law end lives with two children; husbands booked for abetment^ 1 held,https://indianexpress.com/article/cities/ahmedabad/35-yr-old-woman-mother-in-law-end-lives-with-two-children-husbands-booked-for-abetment-1-held-9014997/
BKU stages protest outside police station^ demands lifting of FIR against farmers who forced Punjab govt official to burn stubble,https://indianexpress.com/article/cities/chandigarh/bku-protest-stubble-burning-police-bathinda-fir-9014552/
Delhi News Highlights: CM Arvind Kejriwal recommends suspension of DPCC Chairman,https://indianexpress.com/article/cities/delhi/delhi-news-live-updates-aqi-pollution-weather-kejriwal-aap-9013879/
J&K Police first in country to use GPS anklet for UAPA accused out on bail,https://indianexpress.com/article/cities/srinagar/jk-police-first-in-country-to-use-gps-anklet-for-uapa-accused-out-on-bail-9013746/
Audit at HBPCL: From fund transfer to London to losses in crores^ CAG raises questions on Haffkine’s functioning,https://indianexpress.com/article/cities/mumbai/audit-at-hbpcl-cag-haffkines-9013502/
Unsung Heroes: From Google to garbage^ here’s how Divya Hegde is fighting ocean pollution in coastal Karnataka with art,https://indianexpress.com/article/cities/bangalore/climate-change-activist-google-ocean-pollution-karnataka-9012966/
Those who harm daughters will see the same fate as Ravan & Kans: CM Yogi Aditynath,https://indianexpress.com/article/cities/lucknow/those-who-harm-daughters-will-see-the-same-fate-as-ravan-kans-cm-yogi-aditynath-9012671/
Demanding place in hostel^ monk holds protest; MU says overage,https://indianexpress.com/article/cities/mumbai/mumbai-university-protest-hostel-accomodation-mu-9012506/
Pune police invoke MCOCA against Lalit Patil^ 13 others in mephedrone cartel case,https://indianexpress.com/article/cities/pune/pune-police-mcoca-drug-racketeer-lalit-patil-leader-chemical-expert-lohare-12-aides-9011964/
RPF constable^ NGO staffer did not follow correct procedure for keeping minors in custody,https://indianexpress.com/article/cities/pune/pune-rpf-constable-ngo-staffer-did-not-follow-correct-procedure-for-keeping-minors-in-custody-9011576/
PM should call up Jarange Patil: Sena UBT^ NCP faction led by Sharad Pawar,https://indianexpress.com/article/cities/mumbai/pm-should-call-up-jarange-patil-sena-ubt-ncp-faction-led-by-sharad-pawar-9011298/
Student^ accomplice booked for cheating during BCom fifth semester exam,https://indianexpress.com/article/cities/mumbai/student-accomplice-booked-for-cheating-during-bcom-fifth-semester-exam-9011205/
Centre for Cellular and Molecular Biology announces breakthrough method to measure biodiversity of all life forms in an ecosystem,https://indianexpress.com/article/cities/hyderabad/centre-for-cellular-and-molecular-biology-measure-biodiversity-ecosystem-9010954/
Bigbasket tops chart^ Ola^ Porter^ Dunzo among others at bottom of fair working conditions for gig workers,https://indianexpress.com/article/cities/bangalore/bigbasket-ola-porter-dunzo-fair-working-conditions-gig-workers-9010568/
‘Every kid has a breathing problem here’: Delhi HC raises concern over poor air quality,https://indianexpress.com/article/cities/delhi/delhi-hc-aqi-air-pollution-breathe-kids-forest-dept-9010099/
Focus on voters’ list^ ensure no name skipped: Akhilesh to SP cadre,https://indianexpress.com/article/cities/lucknow/focus-on-voters-list-ensure-no-name-skipped-akhilesh-to-sp-cadre-9009862/
Western Railway takes nearly 12 hours to fix OHE breakdown at Dahanu Road station,https://indianexpress.com/article/cities/mumbai/western-railway-fix-ohe-breakdown-dahanu-road-station-9009608/
Odisha bans marine fishing in Olive Ridley turtle habitation corridors,https://indianexpress.com/article/cities/bhubaneswar/odisha-bans-marine-fishing-in-olive-ridley-turtle-habitation-corridors-9009055/
3 detained for vandalising NCP leader Hasan Mushrif’s vehicle in Mumbai,https://indianexpress.com/article/cities/mumbai/ncp-leader-hasan-mushrif-vehicle-vandalised-mumbai-9008605/
Boy dies after gate falls on him: NHRC issues notice to DDA Vice-Chairman^ Delhi Police chief,https://indianexpress.com/article/cities/delhi/boy-dies-after-gate-falls-on-him-nhrc-issues-notice-to-dda-vice-chairman-delhi-police-chief-9008277/
Over 50 teachers take part in ‘Sardar Patel heritage walk’,https://indianexpress.com/article/cities/ahmedabad/over-50-teachers-take-part-in-sardar-patel-heritage-walk-9008233/
Adani Electricity gets distribution licence^ 500 units in SEEPZ to benefit,https://indianexpress.com/article/cities/mumbai/adani-electricity-gets-distribution-licence-500-units-in-seepz-to-benefit-9008030/
From Parliament special session to resignation by Union ministers from Maharashtra: Uddhav Thackeray seeks resolution of Maratha quota issue,https://indianexpress.com/article/cities/mumbai/parliament-special-session-maharashtra-uddhav-thackeray-maratha-quota-9007472/
Delhi Court dismisses AAP MLA’s appeal against conviction in principal assault case,https://indianexpress.com/article/cities/delhi/delhi-high-court-aap-mla-abdul-rehman-appeal-principal-assault-case-9007030/
‘Meri Maati^ Mera Desh’: Soil from 36 states & UTs^ 766 dists at Kartavya Path,https://indianexpress.com/article/cities/delhi/meri-maati-mera-desh-soil-from-36-states-uts-766-dists-at-kartavya-path-9006653/
